city,location_lat,location_lng,numberOfGuests,minNights,roomTypeCategory,bedroomLabel,bedLabel,bathroomLabel,stars,pricing
Beyoğlu,"41,0347","28,98545",2,2,private_room,1 bedroom,,1 bath,,278969
Büyükçekmece,"41,07066","28,60151",5,1,entire_home,3 bedrooms,3 beds,4.5 baths,,122064
Gaziosmanpaşa/Sultangazi,"41,08062069","28,87777094",9,1,entire_home,3 bedrooms,8 beds,2 baths,,160544
Gebze,"40,88427","29,42418",1,1,entire_home,1 bedroom,2 beds,1 bath,,100000
Üsküdar,"41,01812323","29,01812103",4,1,entire_home,1 bedroom,1 bed,1 bath,,100000
Beyoğlu,"41,03316","28,98339",2,365,private_room,1 bedroom,,1 bath,,278969
Beyoğlu,"41,03471","28,98504",3,2,private_room,1 bedroom,,1 bath,,278969
Beyoğlu,"41,02438","28,97197",1,3,private_room,2 bedrooms,2 beds,1.5 shared baths,,288570
Ataşehir,"40,99411492","29,10122537",4,1,entire_home,1 bedroom,0 beds,1 bath,,240000
Fatih,"41,02237","28,92648",1,1,private_room,1 bedroom,,1 bath,,278969
Şişli,"41,05689","28,97877",9,1,entire_home,4 bedrooms,4 beds,3 baths,,240816
Fatih,"41,0225","28,92816",3,1,private_room,1 bedroom,,1 bath,,278969
Beyoğlu,"41,03437","28,98508",2,365,private_room,1 bedroom,,1 bath,,278969
Beyoğlu,"41,03491","28,98453",3,365,private_room,1 bedroom,,1 bath,,278969
Beyoğlu,"41,03293","28,98408",1,365,private_room,1 bedroom,,1 bath,,278969
Sarıyer,"41,14756","29,03645",7,1,entire_home,1 bedroom,0 beds,1.5 baths,,231394
Beşiktaş,"41,07861","29,04959",15,1,entire_home,5 bedrooms,5 beds,5 baths,,224761
Beyoğlu,"41,03456","28,98356",2,365,private_room,1 bedroom,,1 bath,,278969
Şişli,"41,06987","29,00097",2,1,private_room,1 bedroom,2 beds,1 shared bath,"4,29",100000
Kağıthane,"41,08291","29,00575",2,1,private_room,1 bedroom,1 bed,1 private bath,,139502
Beyoğlu,"41,03501","28,98502",1,365,private_room,1 bedroom,,1 bath,,278969
Gaziosmanpaşa/Sultangazi,"41,07922","28,87668",9,7,entire_home,3 bedrooms,7 beds,2 baths,,160544
Küçükçekmece,"41,034","28,789",6,1,entire_home,2 bedrooms,1 bed,3 baths,,150000
Beşiktaş,"41,08","29,05",16,1,entire_home,,1 bed,2 baths,,180000
Beyoğlu,"41,02427","28,9707",4,1,entire_home,2 bedrooms,2 beds,1.5 baths,"4,6",119055
Beşiktaş,"41,04774","29,02507",5,1,entire_home,3 bedrooms,3 beds,2 baths,,191815
Beyoğlu,"41,026","28,972",6,1,entire_home,1 bedroom,0 beds,1 bath,,130000
Büyükçekmece,"41,02097","28,62482",4,1,entire_home,1 bedroom,2 beds,1 bath,,186000
İstanbul,"41,05886","28,77624",4,3,entire_home,1 bedroom,1 bed,1.5 baths,,156940
Bakırköy,"40,98037","28,84925",3,7,private_room,1 bedroom,2 beds,1 private bath,,179809
,"41,10323","28,98817",6,1,entire_home,4 bedrooms,3 beds,5 baths,,128435
Beyoğlu,"41,039","28,981",3,4,entire_home,1 bedroom,2 beds,1 bath,,112381
Fatih,"41,00491","28,96475",3,1,private_room,1 bedroom,2 beds,1 private bath,,120012
Bağcılar,"41,05446","28,81149",6,30,entire_home,2 bedrooms,3 beds,2 baths,,192653
Fatih,"41,0065","28,98117",4,14,private_room,1 bedroom,4 beds,1 private bath,,154987
Şişli,"41,065","29,001",4,1,entire_home,2 bedrooms,2 beds,2 baths,,112381
Büyükçekmece,"41,0855","28,61906",10,3,entire_home,7 bedrooms,7 beds,7.5 baths,,102883
Şişli,"41,07006305","28,99121049",4,5,entire_home,2 bedrooms,2 beds,1 bath,5,160714
Şişli,"41,05389725","28,98997698",5,1,entire_home,2 bedrooms,2 beds,1 bath,,193648
Fatih,"41,012","28,978",2,1,private_room,4 bedrooms,4 beds,4 baths,,348720
Fatih,"41,012","28,978",2,1,private_room,3 bedrooms,3 beds,3 baths,,348720
Beşiktaş,"41,05311","29,02873",3,365,private_room,1 bedroom,,1 bath,,523132
Beşiktaş,"41,05463","29,02905",2,365,private_room,1 bedroom,,1 bath,,697509
Fatih,"41,012","28,978",2,1,private_room,3 bedrooms,3 beds,3 baths,,348720
Beşiktaş,"41,05493","29,02728",5,365,private_room,1 bedroom,,1 bath,,523132
Beşiktaş,"41,05297","29,02751",4,365,private_room,1 bedroom,,1 bath,,523132
Beşiktaş,"41,05491","29,02728",3,365,private_room,1 bedroom,,1 bath,,697509
Beşiktaş,"41,05323","29,02861",2,365,private_room,1 bedroom,,1 bath,,523132
Beşiktaş,"41,05326","29,0275",5,365,private_room,1 bedroom,,1 bath,,348754
Beşiktaş,"41,05455","29,02719",3,365,private_room,1 bedroom,,1 bath,,523132
Beşiktaş,"41,05529","29,0272",2,365,private_room,1 bedroom,,1 bath,,348754
Fatih,"41,012","28,978",2,1,private_room,1 bedroom,1 bed,1 private bath,,348720
