city,location_lat,location_lng,numberOfGuests,minNights,bedroomLabel,bedLabel,bathroomLabel,stars,pricing,roomType_entire_home,roomType_hotel_room,roomType_private_room,roomType_shared_room,zipcode,district_index
Şişli,41.06987,29.00097,2,1,1.0,2.0,1.0,4.29,100000.0,0,0,1,0,34360,54.677
Beyoğlu,41.02427,28.9707,4,1,2.0,2.0,1.0,4.6,119055.0,1,0,0,0,34421,60.000
Şişli,41.07006305,28.99121049,4,5,2.0,2.0,1.0,5.0,160714.0,1,0,0,0,34360,54.677
Silivri,41.049,28.053,4,2,2.0,4.0,2.0,4.42,1800.0,1,0,0,0,34582,29.062
Silivri,41.08174,28.06274,4,1,1.0,1.0,1.0,4.83,1821.0,1,0,0,0,34582,29.062
,41.03546664,28.67984179,4,3,1.0,1.0,1.0,5.0,999999.0,1,0,0,0,34510.0,
Silivri,41.075,28.15,6,2,3.0,3.0,2.0,4.78,,1,0,0,0,34582,29.062
Silivri,41.059,28.087,6,4,3.0,4.0,3.0,4.67,,1,0,0,0,34582,29.062
Esenler,41.06096,28.09296,7,4,3.0,7.0,3.0,4.67,,1,0,0,0,34230,33.871
Silivri,41.06988,28.13555,2,100,1.0,1.0,1.0,4.75,,0,0,1,0,34582,29.062
Marmaraereğlisi,41.0564,27.82831,8,3,4.0,0.0,3.0,3.0,,1,0,0,0,,
Silivri,41.09999875,28.06912699,8,101,3.0,6.0,3.0,4.0,,1,0,0,0,34582,29.062
Silivri,41.06227,28.10402,8,2,4.0,4.0,2.0,4.6,,1,0,0,0,34582,29.062
Silivri,41.063,28.105,8,2,4.0,3.0,3.0,4.95,,1,0,0,0,34582,29.062
Silivri,41.0606,28.10468,16,2,5.0,0.0,5.0,4.78,,1,0,0,0,34582,29.062
Silivri,41.06113,28.10574,8,1,5.0,6.0,4.0,5.0,,1,0,0,0,34582,29.062
Fatih,41.005,28.977,4,2,1.0,3.0,1.0,4.42,4638.0,0,0,1,0,34096,32.000
Fatih,41.00719,28.97706,4,2,1.0,3.0,1.0,4.75,2675.0,1,0,0,0,34096,32.000
"Sultanahmet, Istanbul",41.00585,28.97604,9,1,3.0,5.0,1.0,4.64,3684.0,1,0,0,0,34122.0,
Fatih,41.006,28.964,3,1,1.0,2.0,1.0,4.57,1709.0,0,0,1,0,34096,32.000
Sultanahmet Fatih,41.00592,28.9752,4,2,2.0,3.0,1.0,4.73,2436.0,1,0,0,0,34122.0,
